
01 createUDB       06 uvSort          11 uhex$           D = Defined in
02 unpack          07 usymTabVal      12 uDRPN           U = Used in
03 udecode         08 ubuildSrc       13 ureadInitDB     P = Received as a parameter
04 ulSort          09 udsSort         14 ureadLins
05 udefVars        10 uinstruction    15 ureadVars

unpack total variables: 189 (not including record variables and fields)
      passed as parameters: 27
      unique variables: 117 (so far)

  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
common variables | 65 Variables  21 Parameters                                              | 
046 nextVar      |    |    | DU |    |    |    |    |    |    | DU |    |    |    |    |    | BOOLEAN is a NEXT statement variable reference
047 forVar       |    |    | DU |    |    |    |    |    |    | DU |    |    |    |    |    | BOOLEAN is a FOR statement variable reference
048 creOp        |    |    | DU |    |    |    |    |    |    | DU |    |    |    |    |    | BOOLEAN is a CREATE or OPEN statement
049 isRestore    |    |    | DU |    |    |    |    |    |    | DU |    |    |    |    |    | BOOLEAN is a RESTORE statement
050 vOpen        |    |    | DU |    | DU |    | DU | DU |    | DU |    |    |    |    | DU | BOOLEAN variable file path open/closed
051 lnOpen       |    |    | DU |    |    |    |    |    |    | DU |    |    |    | DU |    | BOOLEAN line file path open/closed
052 dOpen        |    |    | DU |    | DU |    |    | DU |    | DU |    |    |    |    | DU | BOOLEAN data file path open/closed
053 btemp        |    |    |    | DU |    | DU |    |    | DU |    |    |    |    |    |    | BOOLEAN cutoff
054 validated    |    |    |    |    |    |    | DU | DU |    |    |    |    |    |    |    | BOOLEAN symbol table entry validation flag
055 hex          |    |    |    |    |    |    |    |    |    | DU | DUP|    |    |    |    | STRING Passed to uhex$ for hex value (4 characters)
056 version      | DU | DU | DU |    |    |    |    | DU |    | DU |    |    | DU |    |    | STRING unpack version number (8 characters)
057 dataDir      | DU | DU | DUP|    | DUP|    | DUP| DUP|    | DUP|    |    | DU |    |    | STRING data directory (16 characters)
058 outFile      | DU | DU |    |    |    |    |    | DUP|    |    |    |    | DU |    | DU | STRING output filename (29 characters)
059 modName      |    | DU | DUP|    |    |    |    |    |    |    |    |    |    |    |    | STRING module name (29 characters)
060 vFile        |    |    | DU |    | DU |    | DU | DU |    | DU |    |    |    |    | DU | STRING variable records file (29 characters)
